NUTS3_addit_demolition,share_sfh_1977,share_sfh_77_90,share_sfh_90_17,share_sfh_2017__,share_mfh_1977,share_mfh_77_90,share_mfh_90_17,share_mfh_2017__,share_nres_1977,share_nres_77_90,share_nres_90_17,share_nres_2017__
f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4
,Share of renovated ene,Share of renovated ene,Share of renovated ene,Share of renovated ene,Share of renovated ene,Share of renovated ene,Share of renovated ene,Share of renovated ene,Share of renovated ene,Share of renovated ene,Share of renovated ene,Share of renovated ene
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.04051,0.08541,0.03268,1.00000,0.03186,0.05607,0.02532,1.00000,0.02755,0.06541,0.03011,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.04051,0.08541,0.03268,1.00000,0.03186,0.05607,0.02532,1.00000,0.02755,0.06541,0.03011,1.00000
1.00000,0.04051,0.08541,0.03268,1.00000,0.03186,0.05607,0.02532,1.00000,0.02755,0.06541,0.03011,1.00000
1.00000,0.04051,0.08541,0.03268,1.00000,0.03186,0.05607,0.02532,1.00000,0.02755,0.06541,0.03011,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.04051,0.08541,0.03268,1.00000,0.03186,0.05607,0.02532,1.00000,0.02755,0.06541,0.03011,1.00000
