NUTS3_addit_demolition,share_sfh_1977,share_sfh_77_90,share_sfh_90_17,share_sfh_2017__,share_mfh_1977,share_mfh_77_90,share_mfh_90_17,share_mfh_2017__,share_nres_1977,share_nres_77_90,share_nres_90_17,share_nres_2017__
f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4
,Share of renovated ene,Share of renovated ene,Share of renovated ene,Share of renovated ene,Share of renovated ene,Share of renovated ene,Share of renovated ene,Share of renovated ene,Share of renovated ene,Share of renovated ene,Share of renovated ene,Share of renovated ene
1.00000,0.04282,0.09850,0.02983,1.00000,0.05608,0.12305,0.04306,1.00000,0.02996,0.06718,0.03228,1.00000
1.00000,0.04282,0.09850,0.02983,1.00000,0.05608,0.12305,0.04306,1.00000,0.02996,0.06718,0.03228,1.00000
1.00000,0.04282,0.09850,0.02983,1.00000,0.05608,0.12305,0.04306,1.00000,0.02996,0.06718,0.03228,1.00000
1.00000,0.04282,0.09850,0.02983,1.00000,0.05608,0.12305,0.04306,1.00000,0.02996,0.06718,0.03228,1.00000
1.00000,0.04282,0.09850,0.02983,1.00000,0.05608,0.12305,0.04306,1.00000,0.02996,0.06718,0.03228,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.04282,0.09850,0.02983,1.00000,0.05608,0.12305,0.04306,1.00000,0.02996,0.06718,0.03228,1.00000
1.00000,0.04282,0.09850,0.02983,1.00000,0.05608,0.12305,0.04306,1.00000,0.02996,0.06718,0.03228,1.00000
1.00000,0.04282,0.09850,0.02983,1.00000,0.05608,0.12305,0.04306,1.00000,0.02996,0.06718,0.03228,1.00000
1.00000,0.04282,0.09850,0.02983,1.00000,0.05608,0.12305,0.04306,1.00000,0.02996,0.06718,0.03228,1.00000
1.00000,0.04282,0.09850,0.02983,1.00000,0.05608,0.12305,0.04306,1.00000,0.02996,0.06718,0.03228,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.04282,0.09850,0.02983,1.00000,0.05608,0.12305,0.04306,1.00000,0.02996,0.06718,0.03228,1.00000
1.00000,0.04282,0.09850,0.02983,1.00000,0.05608,0.12305,0.04306,1.00000,0.02996,0.06718,0.03228,1.00000
1.00000,0.04282,0.09850,0.02983,1.00000,0.05608,0.12305,0.04306,1.00000,0.02996,0.06718,0.03228,1.00000
1.00000,0.04282,0.09850,0.02983,1.00000,0.05608,0.12305,0.04306,1.00000,0.02996,0.06718,0.03228,1.00000
1.00000,0.04282,0.09850,0.02983,1.00000,0.05608,0.12305,0.04306,1.00000,0.02996,0.06718,0.03228,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.04282,0.09850,0.02983,1.00000,0.05608,0.12305,0.04306,1.00000,0.02996,0.06718,0.03228,1.00000
1.00000,0.04282,0.09850,0.02983,1.00000,0.05608,0.12305,0.04306,1.00000,0.02996,0.06718,0.03228,1.00000
1.00000,0.04282,0.09850,0.02983,1.00000,0.05608,0.12305,0.04306,1.00000,0.02996,0.06718,0.03228,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.04282,0.09850,0.02983,1.00000,0.05608,0.12305,0.04306,1.00000,0.02996,0.06718,0.03228,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.07070,0.13609,0.04407,1.00000,0.12757,0.18025,0.04931,1.00000,0.07221,0.18461,0.04718,1.00000
1.00000,0.07070,0.13609,0.04407,1.00000,0.12757,0.18025,0.04931,1.00000,0.07221,0.18461,0.04718,1.00000
1.00000,0.07070,0.13609,0.04407,1.00000,0.12757,0.18025,0.04931,1.00000,0.07221,0.18461,0.04718,1.00000
1.00000,0.07070,0.13609,0.04407,1.00000,0.12757,0.18025,0.04931,1.00000,0.07221,0.18461,0.04718,1.00000
1.00000,0.07070,0.13609,0.04407,1.00000,0.12757,0.18025,0.04931,1.00000,0.07221,0.18461,0.04718,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.07070,0.13609,0.04407,1.00000,0.12757,0.18025,0.04931,1.00000,0.07221,0.18461,0.04718,1.00000
1.00000,0.07070,0.13609,0.04407,1.00000,0.12757,0.18025,0.04931,1.00000,0.07221,0.18461,0.04718,1.00000
1.00000,0.07070,0.13609,0.04407,1.00000,0.12757,0.18025,0.04931,1.00000,0.07221,0.18461,0.04718,1.00000
1.00000,0.07070,0.13609,0.04407,1.00000,0.12757,0.18025,0.04931,1.00000,0.07221,0.18461,0.04718,1.00000
1.00000,0.07070,0.13609,0.04407,1.00000,0.12757,0.18025,0.04931,1.00000,0.07221,0.18461,0.04718,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.07070,0.13609,0.04407,1.00000,0.12757,0.18025,0.04931,1.00000,0.07221,0.18461,0.04718,1.00000
1.00000,0.07070,0.13609,0.04407,1.00000,0.12757,0.18025,0.04931,1.00000,0.07221,0.18461,0.04718,1.00000
1.00000,0.07070,0.13609,0.04407,1.00000,0.12757,0.18025,0.04931,1.00000,0.07221,0.18461,0.04718,1.00000
1.00000,0.07070,0.13609,0.04407,1.00000,0.12757,0.18025,0.04931,1.00000,0.07221,0.18461,0.04718,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.07070,0.13609,0.04407,1.00000,0.12757,0.18025,0.04931,1.00000,0.07221,0.18461,0.04718,1.00000
1.00000,0.07070,0.13609,0.04407,1.00000,0.12757,0.18025,0.04931,1.00000,0.07221,0.18461,0.04718,1.00000
1.00000,0.07070,0.13609,0.04407,1.00000,0.12757,0.18025,0.04931,1.00000,0.07221,0.18461,0.04718,1.00000
1.00000,0.07070,0.13609,0.04407,1.00000,0.12757,0.18025,0.04931,1.00000,0.07221,0.18461,0.04718,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.07070,0.13609,0.04407,1.00000,0.12757,0.18025,0.04931,1.00000,0.07221,0.18461,0.04718,1.00000
1.00000,0.07070,0.13609,0.04407,1.00000,0.12757,0.18025,0.04931,1.00000,0.07221,0.18461,0.04718,1.00000
1.00000,0.07070,0.13609,0.04407,1.00000,0.12757,0.18025,0.04931,1.00000,0.07221,0.18461,0.04718,1.00000
1.00000,0.07070,0.13609,0.04407,1.00000,0.12757,0.18025,0.04931,1.00000,0.07221,0.18461,0.04718,1.00000
1.00000,0.07070,0.13609,0.04407,1.00000,0.12757,0.18025,0.04931,1.00000,0.07221,0.18461,0.04718,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.07070,0.13609,0.04407,1.00000,0.12757,0.18025,0.04931,1.00000,0.07221,0.18461,0.04718,1.00000
1.00000,0.07070,0.13609,0.04407,1.00000,0.12757,0.18025,0.04931,1.00000,0.07221,0.18461,0.04718,1.00000
1.00000,0.07070,0.13609,0.04407,1.00000,0.12757,0.18025,0.04931,1.00000,0.07221,0.18461,0.04718,1.00000
1.00000,0.07070,0.13609,0.04407,1.00000,0.12757,0.18025,0.04931,1.00000,0.07221,0.18461,0.04718,1.00000
1.00000,0.07070,0.13609,0.04407,1.00000,0.12757,0.18025,0.04931,1.00000,0.07221,0.18461,0.04718,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
