NUTS3_addit_demolition,share_sfh_1977,share_sfh_77_90,share_sfh_90_17,share_sfh_2017__,share_mfh_1977,share_mfh_77_90,share_mfh_90_17,share_mfh_2017__,share_nres_1977,share_nres_77_90,share_nres_90_17,share_nres_2017__
f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4
,Share of renovated gfa,Share of renovated gfa,Share of renovated gfa,Share of renovated gfa,Share of renovated gfa,Share of renovated gfa,Share of renovated gfa,Share of renovated gfa,Share of renovated gfa,Share of renovated gfa,Share of renovated gfa,Share of renovated gfa
1.00000,0.07628,0.14169,0.02372,1.00000,0.07518,0.14045,0.02680,1.00000,0.06267,0.10997,0.03511,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.07628,0.14169,0.02372,1.00000,0.07518,0.14045,0.02680,1.00000,0.06267,0.10997,0.03511,1.00000
1.00000,0.07628,0.14169,0.02372,1.00000,0.07518,0.14045,0.02680,1.00000,0.06267,0.10997,0.03511,1.00000
1.00000,0.07628,0.14169,0.02372,1.00000,0.07518,0.14045,0.02680,1.00000,0.06267,0.10997,0.03511,1.00000
1.00000,0.07628,0.14169,0.02372,1.00000,0.07518,0.14045,0.02680,1.00000,0.06267,0.10997,0.03511,1.00000
1.00000,0.07628,0.14169,0.02372,1.00000,0.07518,0.14045,0.02680,1.00000,0.06267,0.10997,0.03511,1.00000
1.00000,0.07628,0.14169,0.02372,1.00000,0.07518,0.14045,0.02680,1.00000,0.06267,0.10997,0.03511,1.00000
1.00000,0.07628,0.14169,0.02372,1.00000,0.07518,0.14045,0.02680,1.00000,0.06267,0.10997,0.03511,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.07628,0.14169,0.02372,1.00000,0.07518,0.14045,0.02680,1.00000,0.06267,0.10997,0.03511,1.00000
1.00000,0.07628,0.14169,0.02372,1.00000,0.07518,0.14045,0.02680,1.00000,0.06267,0.10997,0.03511,1.00000
1.00000,0.07628,0.14169,0.02372,1.00000,0.07518,0.14045,0.02680,1.00000,0.06267,0.10997,0.03511,1.00000
1.00000,0.07628,0.14169,0.02372,1.00000,0.07518,0.14045,0.02680,1.00000,0.06267,0.10997,0.03511,1.00000
1.00000,0.07628,0.14169,0.02372,1.00000,0.07518,0.14045,0.02680,1.00000,0.06267,0.10997,0.03511,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.07628,0.14169,0.02372,1.00000,0.07518,0.14045,0.02680,1.00000,0.06267,0.10997,0.03511,1.00000
1.00000,0.07628,0.14169,0.02372,1.00000,0.07518,0.14045,0.02680,1.00000,0.06267,0.10997,0.03511,1.00000
1.00000,0.07628,0.14169,0.02372,1.00000,0.07518,0.14045,0.02680,1.00000,0.06267,0.10997,0.03511,1.00000
1.00000,0.07628,0.14169,0.02372,1.00000,0.07518,0.14045,0.02680,1.00000,0.06267,0.10997,0.03511,1.00000
1.00000,0.07628,0.14169,0.02372,1.00000,0.07518,0.14045,0.02680,1.00000,0.06267,0.10997,0.03511,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.07628,0.14169,0.02372,1.00000,0.07518,0.14045,0.02680,1.00000,0.06267,0.10997,0.03511,1.00000
1.00000,0.07628,0.14169,0.02372,1.00000,0.07518,0.14045,0.02680,1.00000,0.06267,0.10997,0.03511,1.00000
1.00000,0.07628,0.14169,0.02372,1.00000,0.07518,0.14045,0.02680,1.00000,0.06267,0.10997,0.03511,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.07628,0.14169,0.02372,1.00000,0.07518,0.14045,0.02680,1.00000,0.06267,0.10997,0.03511,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.09741,0.15237,0.02763,1.00000,0.12806,0.15227,0.02502,1.00000,0.07794,0.15218,0.02572,1.00000
1.00000,0.09741,0.15237,0.02763,1.00000,0.12806,0.15227,0.02502,1.00000,0.07794,0.15218,0.02572,1.00000
1.00000,0.09741,0.15237,0.02763,1.00000,0.12806,0.15227,0.02502,1.00000,0.07794,0.15218,0.02572,1.00000
1.00000,0.09741,0.15237,0.02763,1.00000,0.12806,0.15227,0.02502,1.00000,0.07794,0.15218,0.02572,1.00000
1.00000,0.09741,0.15237,0.02763,1.00000,0.12806,0.15227,0.02502,1.00000,0.07794,0.15218,0.02572,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.09741,0.15237,0.02763,1.00000,0.12806,0.15227,0.02502,1.00000,0.07794,0.15218,0.02572,1.00000
1.00000,0.09741,0.15237,0.02763,1.00000,0.12806,0.15227,0.02502,1.00000,0.07794,0.15218,0.02572,1.00000
1.00000,0.09741,0.15237,0.02763,1.00000,0.12806,0.15227,0.02502,1.00000,0.07794,0.15218,0.02572,1.00000
1.00000,0.09741,0.15237,0.02763,1.00000,0.12806,0.15227,0.02502,1.00000,0.07794,0.15218,0.02572,1.00000
1.00000,0.09741,0.15237,0.02763,1.00000,0.12806,0.15227,0.02502,1.00000,0.07794,0.15218,0.02572,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.09741,0.15237,0.02763,1.00000,0.12806,0.15227,0.02502,1.00000,0.07794,0.15218,0.02572,1.00000
1.00000,0.09741,0.15237,0.02763,1.00000,0.12806,0.15227,0.02502,1.00000,0.07794,0.15218,0.02572,1.00000
1.00000,0.09741,0.15237,0.02763,1.00000,0.12806,0.15227,0.02502,1.00000,0.07794,0.15218,0.02572,1.00000
1.00000,0.09741,0.15237,0.02763,1.00000,0.12806,0.15227,0.02502,1.00000,0.07794,0.15218,0.02572,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.09741,0.15237,0.02763,1.00000,0.12806,0.15227,0.02502,1.00000,0.07794,0.15218,0.02572,1.00000
1.00000,0.09741,0.15237,0.02763,1.00000,0.12806,0.15227,0.02502,1.00000,0.07794,0.15218,0.02572,1.00000
1.00000,0.09741,0.15237,0.02763,1.00000,0.12806,0.15227,0.02502,1.00000,0.07794,0.15218,0.02572,1.00000
1.00000,0.09741,0.15237,0.02763,1.00000,0.12806,0.15227,0.02502,1.00000,0.07794,0.15218,0.02572,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.09741,0.15237,0.02763,1.00000,0.12806,0.15227,0.02502,1.00000,0.07794,0.15218,0.02572,1.00000
1.00000,0.09741,0.15237,0.02763,1.00000,0.12806,0.15227,0.02502,1.00000,0.07794,0.15218,0.02572,1.00000
1.00000,0.09741,0.15237,0.02763,1.00000,0.12806,0.15227,0.02502,1.00000,0.07794,0.15218,0.02572,1.00000
1.00000,0.09741,0.15237,0.02763,1.00000,0.12806,0.15227,0.02502,1.00000,0.07794,0.15218,0.02572,1.00000
1.00000,0.09741,0.15237,0.02763,1.00000,0.12806,0.15227,0.02502,1.00000,0.07794,0.15218,0.02572,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.09741,0.15237,0.02763,1.00000,0.12806,0.15227,0.02502,1.00000,0.07794,0.15218,0.02572,1.00000
1.00000,0.09741,0.15237,0.02763,1.00000,0.12806,0.15227,0.02502,1.00000,0.07794,0.15218,0.02572,1.00000
1.00000,0.09741,0.15237,0.02763,1.00000,0.12806,0.15227,0.02502,1.00000,0.07794,0.15218,0.02572,1.00000
1.00000,0.09741,0.15237,0.02763,1.00000,0.12806,0.15227,0.02502,1.00000,0.07794,0.15218,0.02572,1.00000
1.00000,0.09741,0.15237,0.02763,1.00000,0.12806,0.15227,0.02502,1.00000,0.07794,0.15218,0.02572,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.09741,0.15237,0.02763,1.00000,0.12806,0.15227,0.02502,1.00000,0.07794,0.15218,0.02572,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.05109,0.13283,0.02184,1.00000,0.05431,0.13108,0.02157,1.00000,0.05044,0.14997,0.02780,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.05109,0.13283,0.02184,1.00000,0.05431,0.13108,0.02157,1.00000,0.05044,0.14997,0.02780,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.05109,0.13283,0.02184,1.00000,0.05431,0.13108,0.02157,1.00000,0.05044,0.14997,0.02780,1.00000
1.00000,0.05109,0.13283,0.02184,1.00000,0.05431,0.13108,0.02157,1.00000,0.05044,0.14997,0.02780,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.05109,0.13283,0.02184,1.00000,0.05431,0.13108,0.02157,1.00000,0.05044,0.14997,0.02780,1.00000
1.00000,0.05109,0.13283,0.02184,1.00000,0.05431,0.13108,0.02157,1.00000,0.05044,0.14997,0.02780,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.05109,0.13283,0.02184,1.00000,0.05431,0.13108,0.02157,1.00000,0.05044,0.14997,0.02780,1.00000
1.00000,0.05109,0.13283,0.02184,1.00000,0.05431,0.13108,0.02157,1.00000,0.05044,0.14997,0.02780,1.00000
1.00000,0.05109,0.13283,0.02184,1.00000,0.05431,0.13108,0.02157,1.00000,0.05044,0.14997,0.02780,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.05109,0.13283,0.02184,1.00000,0.05431,0.13108,0.02157,1.00000,0.05044,0.14997,0.02780,1.00000
1.00000,0.05109,0.13283,0.02184,1.00000,0.05431,0.13108,0.02157,1.00000,0.05044,0.14997,0.02780,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.05109,0.13283,0.02184,1.00000,0.05431,0.13108,0.02157,1.00000,0.05044,0.14997,0.02780,1.00000
1.00000,0.05109,0.13283,0.02184,1.00000,0.05431,0.13108,0.02157,1.00000,0.05044,0.14997,0.02780,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.05109,0.13283,0.02184,1.00000,0.05431,0.13108,0.02157,1.00000,0.05044,0.14997,0.02780,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.05109,0.13283,0.02184,1.00000,0.05431,0.13108,0.02157,1.00000,0.05044,0.14997,0.02780,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.10295,0.11098,0.03652,1.00000,0.09829,0.11020,0.02245,1.00000,0.11343,0.15142,0.02508,1.00000
1.00000,0.10295,0.11098,0.03652,1.00000,0.09829,0.11020,0.02245,1.00000,0.11343,0.15142,0.02508,1.00000
1.00000,0.10295,0.11098,0.03652,1.00000,0.09829,0.11020,0.02245,1.00000,0.11343,0.15142,0.02508,1.00000
1.00000,0.10295,0.11098,0.03652,1.00000,0.09829,0.11020,0.02245,1.00000,0.11343,0.15142,0.02508,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.10295,0.11098,0.03652,1.00000,0.09829,0.11020,0.02245,1.00000,0.11343,0.15142,0.02508,1.00000
1.00000,0.10295,0.11098,0.03652,1.00000,0.09829,0.11020,0.02245,1.00000,0.11343,0.15142,0.02508,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.10295,0.11098,0.03652,1.00000,0.09829,0.11020,0.02245,1.00000,0.11343,0.15142,0.02508,1.00000
1.00000,0.10295,0.11098,0.03652,1.00000,0.09829,0.11020,0.02245,1.00000,0.11343,0.15142,0.02508,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.10295,0.11098,0.03652,1.00000,0.09829,0.11020,0.02245,1.00000,0.11343,0.15142,0.02508,1.00000
1.00000,0.10295,0.11098,0.03652,1.00000,0.09829,0.11020,0.02245,1.00000,0.11343,0.15142,0.02508,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
1.00000,0.10295,0.11098,0.03652,1.00000,0.09829,0.11020,0.02245,1.00000,0.11343,0.15142,0.02508,1.00000
1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
